Index,Target
866,14
1483,8
599,12
1702,11
670,9
2430,8
1590,9
949,9
4026,7
3668,8
351,10
175,6
807,13
393,7
2881,8
432,14
179,10
308,10
1979,11
2648,8
166,12
1419,11
1377,9
1688,11
1653,10
2283,8
4035,9
4059,7
1641,9
3728,11
4110,9
2792,11
1829,7
690,9
1578,8
990,8
3632,6
238,4
3186,8
907,7
1422,11
3148,20
3237,9
1117,9
3210,10
1421,12
3957,9
1338,8
734,14
149,5
3407,6
270,16
1862,9
465,4
2005,7
3658,10
505,9
2344,15
1912,10
3315,9
865,11
1736,11
1926,10
3409,6
2111,7
1730,11
1057,4
1432,7
1467,8
96,12
1721,11
196,17
2325,9
1769,8
3361,11
2615,11
314,16
2266,11
150,11
1114,9
3277,14
3282,14
4139,10
1094,8
1235,6
70,13
3811,8
534,8
33,11
3393,17
800,11
596,10
1509,11
4148,10
1962,11
2760,9
2509,6
2328,9
2519,8
1222,7
2178,11
2303,9
888,11
4052,10
3727,8
109,11
1392,11
4157,10
1170,10
1728,11
3396,10
4036,8
551,10
3655,8
3335,8
2456,4
8,10
2377,9
862,10
3917,10
188,9
1337,10
2835,8
527,11
205,10
744,13
3572,10
1034,9
1885,10
3061,10
1313,8
1281,8
3984,12
3142,6
3379,6
3033,7
1029,9
3467,10
538,5
3691,11
3023,9
298,9
3657,11
3027,8
1176,11
1747,11
1309,9
2484,14
471,8
2441,11
17,9
1786,11
366,9
408,8
2985,8
2910,11
598,10
568,5
2297,10
3161,7
1149,9
69,7
4051,9
2475,13
3109,7
1393,10
2345,17
2354,9
1018,11
1626,9
2758,11
4176,10
3049,10
2258,9
1258,7
3450,10
1292,9
2093,12
1003,10
1350,8
733,12
3254,11
2045,7
969,8
2636,6
14,9
2063,8
1945,10
1891,9
1213,5
2749,8
978,9
371,17
755,11
3684,9
2399,9
3129,9
1961,10
3229,12
2603,9
2889,8
746,11
798,13
3948,11
457,7
594,15
2936,11
1001,9
3755,8
4084,10
2195,5
2130,11
2803,11
3969,7
3988,11
3220,12
3595,11
3479,7
1780,8
3889,14
3057,9
2494,9
184,16
1983,11
2144,10
1550,7
3644,8
2540,13
3422,9
330,13
463,4
1041,11
2943,11
794,14
211,10
2092,11
3349,9
132,10
2548,6
2781,9
2992,10
3076,13
3045,8
2292,7
2279,8
2514,8
1598,9
1835,7
937,8
1088,7
2507,7
1185,12
2913,11
2726,6
410,9
2250,10
1717,10
893,5
1042,11
2314,9
2202,13
2402,9
3021,8
3659,12
3028,8
296,5
134,5
2460,13
4008,10
3635,6
2029,10
2591,9
3533,6
3501,10
838,8
32,11
1703,10
3305,10
1720,11
3085,5
785,19
2330,8
2355,9
2659,8
650,6
3773,10
1921,10
3380,4
1611,12
1966,14
4017,11
1056,4
2236,15
438,5
229,16
2948,9
3084,4
170,11
1553,6
1017,10
3125,10
1164,10
4165,7
2620,11
2022,9
544,9
318,9
2728,10
4149,6
691,5
2583,8
1770,8
45,8
490,10
3054,10
1652,9
43,4
501,13
3041,8
1867,8
676,11
2124,9
2725,7
1270,8
731,8
1538,6
251,10
2090,10
682,11
1487,9
964,8
2242,17
325,6
1898,9
2488,10
511,13
1789,8
2622,11
1784,8
576,10
1024,12
3887,9
3626,10
2442,10
3750,9
2078,11
309,9
3273,10
1322,8
842,8
4076,9
1859,13
2585,9
3053,10
1497,10
720,4
1431,6
3846,7
1429,4
3492,8
1924,9
602,6
759,20
3637,7
3295,10
3541,7
2998,10
3901,9
4043,9
3206,6
2107,13
2699,10
1260,8
3010,7
93,9
2359,10
2194,8
2517,8
1583,9
23,9
3725,8
3816,8
1600,9
3375,13
871,10
174,4
1395,13
1972,12
315,8
217,8
2186,10
1210,8
3134,10
2480,13
2577,8
3449,8
1345,9
1424,11
2335,12
1321,8
2855,11
99,7
1632,10
1289,8
3973,7
3414,11
3732,9
120,9
1188,10
3879,11
156,12
2483,14
1545,7
1937,9
1666,12
1061,5
305,4
3983,8
3789,10
1370,10
2384,9
1200,12
4046,12
2302,8
