Index,Target
866,11.82804
1483,8.75221
599,14.042931
1702,10.894432
670,11.869121
2430,11.428792
1590,8.368368
949,8.855093
4026,7.528658
3668,10.080475
351,12.322971
175,8.728317
807,11.620388
393,6.9395742
2881,8.502234
432,14.198106
179,11.852092
308,10.782301
1979,15.1111355
2648,7.9512763
166,14.24688
1419,9.106474
1377,10.095879
1688,10.760906
1653,9.029349
2283,8.155471
4035,9.801599
4059,7.4125586
1641,7.513721
3728,11.146921
4110,11.324768
2792,10.896636
1829,7.49989
690,11.127445
1578,8.787214
990,9.355529
3632,5.914149
238,2.7497346
3186,9.140046
907,5.9311967
1422,11.492967
3148,15.921194
3237,10.1076145
1117,8.681732
3210,12.839928
1421,10.886095
3957,9.575516
1338,8.056402
734,13.947009
149,4.7204328
3407,6.1067085
270,18.155066
1862,9.474051
465,4.0218782
2005,6.1741548
3658,10.754083
505,11.341742
2344,12.140957
1912,9.3919525
3315,8.770822
865,10.743027
1736,16.923412
1926,10.70475
3409,6.7372875
2111,7.828662
1730,10.041553
1057,3.656604
1432,6.324353
1467,7.9082546
96,11.168888
1721,11.852222
196,11.488966
2325,11.907358
1769,8.337086
3361,9.013695
2615,10.575474
314,14.610566
2266,9.551845
150,11.48672
1114,8.89803
3277,13.243742
3282,13.039578
4139,11.481621
1094,8.674193
1235,6.8291516
70,12.027277
3811,9.390324
534,9.584325
33,11.22563
3393,14.525208
800,11.963996
596,9.007182
1509,10.417062
4148,9.77831
1962,10.852009
2760,9.40467
2509,6.6942234
2328,10.552418
2519,10.6479645
1222,6.7397985
2178,12.445542
2303,10.79065
888,11.874089
4052,10.301911
3727,8.545176
109,10.735468
1392,10.119909
4157,8.499768
1170,10.072442
1728,10.411808
3396,12.325789
4036,9.594009
551,10.212983
3655,9.222402
3335,10.750267
2456,5.0413113
8,9.214257
2377,10.1371155
862,10.790096
3917,12.915705
188,9.742794
1337,10.068835
2835,9.276178
527,12.284578
205,14.5143795
744,13.896788
3572,11.211272
1034,8.575006
1885,11.707429
3061,17.33953
1313,8.664089
1281,7.908342
3984,9.994436
3142,4.4097023
3379,6.154842
3033,8.683585
1029,9.666945
3467,11.528923
538,6.32611
3691,12.084111
3023,9.4961195
298,10.789294
3657,9.458694
3027,11.812607
1176,11.465045
1747,12.336312
1309,10.9664135
2484,12.957051
471,9.100595
2441,12.473544
17,9.515769
1786,11.241583
366,9.96407
408,9.268887
2985,9.760324
2910,10.045689
598,15.805536
568,5.5154443
2297,9.010817
3161,5.767667
1149,9.965454
69,6.1646023
4051,10.480243
2475,14.436428
3109,7.5476127
1393,9.409342
2345,14.139034
2354,9.352947
1018,11.199283
1626,9.217914
2758,10.843617
4176,11.4167185
3049,12.326036
2258,8.522454
1258,7.1325517
3450,10.118796
1292,8.430645
2093,12.149542
1003,10.445782
1350,10.413521
733,11.41949
3254,9.637428
2045,7.1964617
969,8.756381
2636,6.5623484
14,9.793305
2063,8.442771
1945,10.577851
1891,10.1527
1213,5.6448627
2749,8.209685
978,10.334081
371,12.79871
755,10.694041
3684,9.769556
2399,10.794045
3129,12.05365
1961,15.240915
3229,14.674584
2603,10.1959505
2889,8.630478
746,12.222106
798,12.048241
3948,13.392379
457,8.816939
594,11.083293
2936,10.114867
1001,9.993379
3755,8.078495
4084,10.3031
2195,5.946367
2130,9.863392
2803,11.245144
3969,7.341398
3988,10.252082
3220,11.781358
3595,10.853447
3479,6.8011184
1780,9.112511
3889,18.393606
3057,9.271928
2494,11.537715
184,12.515794
1983,11.465896
2144,9.137761
1550,7.0482764
3644,7.8517437
2540,13.689917
3422,9.911922
330,13.892286
463,4.841966
1041,13.443748
2943,10.338862
794,14.751318
211,7.4754677
2092,13.050317
3349,8.709861
132,8.175397
2548,5.5945306
2781,10.264793
2992,9.767301
3076,18.004545
3045,9.844535
2292,7.5467863
2279,10.262203
2514,8.640984
1598,10.272881
1835,7.500538
937,8.8912
1088,7.1597557
2507,7.220719
1185,9.679035
2913,12.069527
2726,6.8315363
410,11.525843
2250,13.355059
1717,9.948724
893,4.284051
1042,16.252317
2314,10.743504
2202,14.511529
2402,9.906417
3021,8.38577
3659,9.031257
3028,8.520684
296,5.712105
134,5.791865
2460,13.21514
4008,9.945784
3635,6.722274
2029,9.625002
2591,8.142642
3533,7.390332
3501,10.080799
838,8.922869
32,11.097408
1703,10.947963
3305,14.200161
1720,10.053867
3085,4.7331743
785,17.31599
2330,8.013364
2355,10.302289
2659,8.277503
650,5.6648912
3773,12.550208
1921,10.401249
3380,4.0218782
1611,10.818305
1966,11.667654
4017,8.59168
1056,5.0233665
2236,13.046205
438,8.029818
229,13.094958
2948,9.89632
3084,3.968947
170,13.511796
1553,7.293626
1017,9.895609
3125,10.27719
1164,8.91616
4165,6.629893
2620,10.86217
2022,9.7703705
544,8.839107
318,13.258085
2728,7.3421636
4149,5.442011
691,5.899601
2583,9.556494
1770,6.9372306
45,7.8965235
490,10.067819
3054,9.117937
1652,8.069711
43,3.765659
501,18.251518
3041,8.776983
1867,8.308216
676,13.266905
2124,8.275914
2725,7.048191
1270,9.4700165
731,11.025408
1538,6.8550124
251,11.849847
2090,14.737555
682,9.136214
1487,10.289369
964,9.478104
2242,14.500345
325,6.8522305
1898,9.003109
2488,11.110985
511,11.394903
1789,8.739937
2622,12.399888
1784,9.078
576,9.879312
1024,9.804247
3887,10.805131
3626,12.190581
2442,10.276912
3750,8.844621
2078,10.348957
309,9.75004
3273,9.831709
1322,9.209824
842,8.704905
4076,12.892813
1859,11.511132
2585,8.952998
3053,11.669045
1497,11.247989
720,3.8704555
1431,7.2749586
3846,7.4737577
1429,3.82151
3492,9.410511
1924,11.243367
602,8.243998
759,14.783668
3637,8.023567
3295,9.058204
3541,7.229343
2998,10.635218
3901,9.966972
4043,9.062153
3206,6.362822
2107,16.162106
2699,11.027815
1260,7.90367
3010,7.5989523
93,11.714496
2359,12.447125
2194,8.101485
2517,8.400167
1583,8.541935
23,10.431101
3725,7.7793136
3816,7.349826
1600,8.671968
3375,10.847234
871,10.4604645
