Index,Target
866,11.574318
1483,9.49817
599,14.788756
1702,11.562241
670,10.875461
2430,11.931256
1590,8.947546
949,8.372253
4026,6.8734756
3668,9.668669
351,11.985318
175,7.647711
807,12.932574
393,7.285174
2881,8.75575
432,12.634321
179,12.189075
308,11.029165
1979,14.151723
2648,8.205792
166,16.446768
1419,9.780776
1377,10.2867985
1688,11.08938
1653,8.845757
2283,7.59358
4035,10.868314
4059,7.697536
1641,8.890233
3728,10.973019
4110,9.77476
2792,10.582695
1829,6.9482975
690,11.362048
1578,8.637229
990,8.88645
3632,6.4617133
238,3.11225
3186,8.465783
907,6.0599113
1422,11.643015
3148,14.11545
3237,11.327951
1117,9.100434
3210,11.919963
1421,11.590545
3957,9.762558
1338,8.446962
734,13.878194
149,4.5126715
3407,6.510033
270,17.30285
1862,9.019519
465,3.999285
2005,6.581562
3658,10.36522
505,10.510256
2344,12.933618
1912,9.576284
3315,8.035476
865,10.612506
1736,14.378066
1926,10.166535
3409,6.933574
2111,7.2063932
1730,10.362471
1057,3.9462976
1432,6.510033
1467,8.232707
96,11.741859
1721,10.757926
196,11.814609
2325,11.984188
1769,8.442989
3361,8.628496
2615,10.356536
314,16.084723
2266,10.215836
150,11.20969
1114,9.03531
3277,12.509809
3282,12.142006
4139,11.379444
1094,8.597734
1235,7.073062
70,11.353823
3811,9.080035
534,9.749713
33,10.765
3393,13.959798
800,12.696665
596,10.727349
1509,10.422387
4148,10.557998
1962,11.05785
2760,10.154992
2509,6.70562
2328,10.247149
2519,11.803581
1222,6.272023
2178,12.855522
2303,12.13293
888,11.783759
4052,10.483848
3727,9.341608
109,9.172352
1392,11.327268
4157,9.650553
1170,10.025586
1728,10.962859
3396,12.540803
4036,9.271603
551,10.939843
3655,9.539222
3335,10.313555
2456,4.8966126
8,9.510104
2377,10.613144
862,11.231775
3917,13.459809
188,9.0673685
1337,10.205165
2835,9.467391
527,11.40822
205,11.767477
744,13.707592
3572,9.948809
1034,8.772504
1885,10.727991
3061,14.738385
1313,9.796032
1281,7.935771
3984,10.352824
3142,3.9462976
3379,5.5983996
3033,7.8917603
1029,10.450607
3467,11.004244
538,6.4734693
3691,11.335363
3023,9.397248
298,10.078172
3657,9.079097
3027,12.19932
1176,10.478526
1747,13.600209
1309,11.277569
2484,12.261575
471,9.297053
2441,12.522479
17,9.26098
1786,11.26687
366,9.836654
408,9.855769
2985,9.594628
2910,10.125631
598,13.168911
568,6.4734693
2297,8.935976
3161,7.153255
1149,10.555289
69,6.191547
4051,10.411009
2475,12.816419
3109,7.073062
1393,11.283216
2345,13.458623
2354,10.083498
1018,10.705117
1626,9.148701
2758,11.055412
4176,10.478953
3049,12.470817
2258,8.739428
1258,7.2182903
3450,9.435958
1292,7.7163444
2093,11.830266
1003,10.11134
1350,8.493223
733,12.283906
3254,9.430106
2045,6.792198
969,9.235145
2636,7.1284614
14,12.230924
2063,8.006491
