iter	RMSE
0	3.165928476
1	3.108766793
2	3.05091588
3	3.001704554
4	2.952320698
5	2.90725818
6	2.863015656
7	2.824055217
8	2.78545137
9	2.753197882
10	2.722072229
11	2.692301597
12	2.662599878
13	2.635931123
14	2.611527661
15	2.586854323
16	2.563701689
17	2.543431999
18	2.523210794
19	2.506668704
20	2.488613466
21	2.469640332
22	2.453284753
23	2.43956047
24	2.426318397
25	2.411665727
26	2.396588414
27	2.385158728
28	2.372385505
29	2.359736129
30	2.346465492
31	2.334214575
32	2.325048233
33	2.314777526
34	2.302527841
35	2.293023956
36	2.284181181
37	2.274129879
38	2.266224763
39	2.25852748
40	2.250332961
41	2.244027275
42	2.238179241
43	2.231230963
44	2.224975013
45	2.216586129
46	2.210285067
47	2.203644658
48	2.197623563
49	2.192429888
50	2.188458752
51	2.184292023
52	2.17990353
53	2.176314377
54	2.172636468
55	2.167866061
56	2.162552528
57	2.157527843
58	2.153494588
59	2.148038427
60	2.145092028
61	2.141846288
62	2.13786413
63	2.134716207
64	2.131606513
65	2.129545457
66	2.126292026
67	2.122745801
68	2.12028989
69	2.117304722
70	2.112734721
71	2.109980642
72	2.107339599
73	2.104977308
74	2.102497387
75	2.098702724
76	2.096902116
77	2.094537327
78	2.093180215
79	2.090653652
80	2.088936804
81	2.086576458
82	2.085312612
83	2.083649415
84	2.08176163
85	2.079094748
86	2.076213715
87	2.07397066
88	2.070804098
89	2.068589014
90	2.066433802
91	2.065389509
92	2.063415636
93	2.06147542
94	2.059335567
95	2.056841494
96	2.05397302
97	2.051196283
98	2.047848618
99	2.046034903
100	2.044732792
101	2.041816825
102	2.040267019
103	2.037453461
104	2.035677521
105	2.033012495
106	2.031351681
107	2.029357973
108	2.027783391
109	2.02593438
110	2.023428932
111	2.022296227
112	2.020745213
113	2.018443086
114	2.016922727
115	2.014292641
116	2.012799545
117	2.011250176
118	2.010292121
119	2.008791631
120	2.007144435
121	2.004870023
122	2.003254772
123	2.002568932
124	2.000332569
125	1.998979232
126	1.99648195
