iter	Passed	Remaining
0	4	2028
1	9	2460
2	15	2550
3	19	2436
4	24	2415
5	28	2366
6	33	2346
7	39	2431
8	44	2447
9	48	2371
10	52	2317
11	55	2254
12	58	2202
13	60	2115
14	63	2064
15	66	2024
16	71	2024
17	74	1999
18	77	1973
19	81	1946
20	84	1919
21	87	1892
22	89	1865
23	92	1838
24	95	1815
25	98	1794
26	101	1778
27	104	1758
28	107	1742
29	110	1730
30	113	1718
31	116	1705
32	119	1690
33	122	1676
34	125	1663
35	128	1649
36	131	1641
37	134	1630
38	137	1620
39	139	1608
40	142	1597
41	145	1589
42	148	1579
43	151	1569
44	154	1560
45	157	1551
46	160	1543
47	163	1536
48	165	1527
49	168	1519
50	171	1511
51	174	1503
52	177	1497
53	180	1490
54	183	1483
55	186	1477
56	189	1470
57	192	1464
58	195	1459
59	198	1452
60	201	1446
61	203	1440
62	206	1434
63	209	1429
64	212	1422
65	215	1416
66	218	1410
67	221	1405
68	224	1399
69	226	1393
70	229	1388
71	232	1382
72	235	1376
73	238	1372
74	241	1366
75	244	1362
76	247	1356
77	249	1351
78	253	1349
79	256	1345
80	259	1340
81	261	1335
82	263	1322
83	265	1317
84	269	1313
85	271	1309
86	274	1304
87	277	1299
88	280	1295
89	283	1291
90	286	1287
91	289	1282
92	292	1278
93	294	1274
94	297	1269
95	300	1266
96	303	1262
97	306	1258
98	309	1254
99	312	1249
100	315	1246
101	318	1242
102	321	1237
103	323	1233
104	326	1229
105	329	1225
106	332	1222
107	335	1218
108	338	1214
109	341	1209
110	344	1206
111	347	1203
112	350	1199
113	353	1195
114	355	1191
115	358	1187
116	362	1185
117	365	1183
118	368	1181
119	371	1177
120	374	1173
121	377	1169
122	380	1165
123	383	1161
124	386	1158
125	388	1154
126	391	1150
127	394	1146
128	397	1143
129	400	1139
130	403	1135
131	406	1132
132	409	1128
133	411	1125
134	414	1121
135	417	1117
136	420	1113
137	423	1110
138	426	1107
139	429	1103
140	431	1099
141	434	1096
142	437	1092
143	440	1089
144	443	1085
145	446	1081
146	449	1078
147	451	1074
148	454	1071
149	457	1067
150	460	1064
151	463	1060
152	466	1057
153	468	1051
154	471	1048
155	473	1045
156	476	1041
157	479	1037
158	482	1034
159	485	1031
160	488	1027
161	490	1024
162	493	1021
163	496	1017
164	499	1013
165	502	1010
166	504	1006
167	507	1003
168	510	1000
169	513	996
170	516	993
171	519	989
172	521	986
173	524	982
174	527	979
175	530	976
176	533	972
177	535	969
178	538	966
179	541	962
180	544	959
181	547	956
182	549	952
183	552	949
184	555	945
185	558	942
186	561	939
187	563	935
188	566	932
189	569	928
190	572	925
191	575	922
192	578	919
193	580	916
194	583	912
195	586	909
196	589	906
197	592	902
198	595	900
199	598	897
200	600	894
201	603	890
202	606	887
203	609	883
204	611	880
205	614	877
206	617	874
207	620	871
208	623	868
209	626	865
210	629	861
211	632	858
212	635	856
213	638	853
214	642	851
215	647	851
216	650	848
217	654	846
218	657	843
219	660	840
220	663	837
221	666	834
222	669	832
223	674	831
224	678	828
225	681	825
226	684	823
227	688	821
228	691	817
229	694	815
230	697	811
231	700	809
232	703	806
233	706	803
234	709	800
235	713	797
236	716	794
237	719	792
238	722	789
239	726	786
240	729	783
241	732	781
242	735	778
243	738	775
244	741	772
245	744	768
246	748	766
247	751	763
248	754	760
249	757	757
250	760	754
251	763	751
252	767	748
253	770	745
254	773	743
255	777	740
256	780	738
257	783	735
258	787	732
259	793	732
260	796	729
261	800	727
262	803	723
263	811	725
264	817	724
265	820	721
266	828	722
267	834	722
268	838	720
269	843	718
270	849	717
271	853	715
272	858	713
273	863	712
274	868	710
275	874	709
276	880	708
277	885	706
278	890	705
279	896	704
280	900	702
281	906	700
282	912	699
283	917	697
284	922	696
285	929	695
286	933	693
287	939	691
288	944	689
289	949	687
290	955	686
291	961	685
292	966	682
293	971	680
294	977	679
295	982	677
296	988	675
297	994	674
298	998	671
299	1004	669
300	1010	668
301	1014	665
302	1020	663
303	1026	661
304	1030	659
305	1036	657
306	1042	655
307	1048	653
308	1053	651
309	1059	649
310	1063	646
311	1068	643
312	1071	640
313	1077	638
314	1080	634
315	1085	631
316	1090	629
317	1093	625
318	1097	622
319	1101	619
320	1105	616
321	1109	613
322	1113	609
323	1118	607
324	1121	604
325	1124	600
326	1127	596
327	1131	593
328	1134	589
329	1137	586
330	1140	582
331	1144	579
332	1148	576
333	1151	572
334	1154	568
335	1157	564
336	1160	561
337	1163	557
338	1166	554
339	1169	550
340	1172	546
341	1175	543
342	1178	539
343	1181	535
344	1184	532
345	1187	528
346	1190	524
347	1192	521
348	1195	517
349	1198	513
350	1201	510
351	1204	506
352	1207	502
353	1210	499
354	1213	495
355	1216	491
356	1219	488
357	1222	484
358	1224	481
359	1227	477
360	1230	473
361	1233	470
362	1236	466
363	1238	462
364	1241	459
365	1244	455
366	1247	452
367	1249	448
368	1253	444
369	1255	441
370	1258	437
371	1261	434
372	1264	430
373	1267	427
374	1270	423
375	1273	420
376	1276	416
377	1279	412
378	1282	409
379	1285	405
380	1288	402
381	1291	398
382	1293	395
383	1296	391
384	1299	388
385	1302	384
386	1305	381
387	1308	377
388	1311	374
389	1314	370
390	1317	367
391	1320	363
392	1322	360
393	1325	356
394	1328	353
395	1331	349
396	1334	346
397	1337	342
398	1340	339
399	1343	335
400	1345	332
401	1348	328
402	1351	325
403	1354	321
404	1357	318
405	1360	315
406	1363	311
407	1366	308
408	1369	304
409	1372	301
410	1374	297
411	1377	294
412	1380	290
413	1383	287
414	1386	283
415	1389	280
416	1392	277
417	1395	273
418	1398	270
419	1401	266
420	1404	263
421	1406	260
422	1409	256
423	1412	253
424	1415	249
425	1418	246
426	1421	243
427	1424	239
428	1427	236
429	1430	232
430	1433	229
431	1436	226
432	1438	222
433	1441	219
434	1444	215
435	1447	212
436	1450	209
437	1453	205
438	1456	202
439	1458	198
440	1461	195
441	1464	192
442	1467	188
443	1470	185
444	1473	182
445	1476	178
446	1478	175
447	1481	172
448	1484	168
449	1487	165
450	1490	161
451	1493	158
452	1496	155
453	1498	151
454	1501	148
455	1504	145
456	1507	141
457	1510	138
458	1513	135
459	1515	131
460	1518	128
461	1521	125
462	1524	121
463	1527	118
464	1529	115
465	1532	111
466	1535	108
467	1538	105
468	1541	101
469	1544	98
470	1547	95
471	1550	91
472	1553	88
473	1556	85
474	1558	82
475	1561	78
476	1564	75
477	1567	72
478	1570	68
479	1573	65
480	1576	62
481	1578	58
482	1581	55
483	1584	52
484	1587	49
485	1590	45
486	1593	42
487	1596	39
488	1598	35
489	1601	32
490	1604	29
491	1607	26
492	1610	22
493	1613	19
494	1615	16
495	1618	13
496	1621	9
497	1624	6
498	1627	3
499	1630	0
